,id,dateCreated,likes,dislikes,rating,viewCount,deleted,channel
207,Gp-5NRnM_cM,2022-02-26T00:07:17.44377Z,9254,247,4.896010946216188,713074,False,TheMrMobile
208,OR3Oq0j5nHQ,2022-02-24T11:22:52.631188Z,6377,84,4.947995666305525,146324,False,TheMrMobile
209,hRMM5I2suJU,2022-01-20T18:24:32.512992Z,6797,137,4.920969137582925,199895,False,TheMrMobile
210,wZOsa_h0i6w,2022-02-24T19:15:36.333125Z,8156,202,4.903326154582436,247683,False,TheMrMobile
211,nj8SSDBmyOI,2022-02-23T05:10:31.620003Z,14390,334,4.909263787014399,478150,False,TheMrMobile
212,gz1IQwQo9p4,2022-04-02T17:16:19.281154Z,18738,463,4.903546690276548,848966,False,TheMrMobile
213,9PErl0nbJAo,2022-03-06T01:37:20.240571Z,4442,106,4.9067722075637645,186890,False,TheMrMobile
214,8n-n0lF5MbM,2022-04-09T13:29:24.969509Z,25232,711,4.89037505300081,1179020,False,TheMrMobile
215,V5G85cP7uu0,2022-03-19T05:50:53.893825Z,6575,171,4.898606581678031,180348,False,TheMrMobile
216,LgJcO-SyN5M,2022-02-21T06:31:34.227047Z,17318,645,4.856371430162,843655,False,TheMrMobile
217,ie1wyZGYJD0,2022-01-21T15:59:00.084269Z,10941,237,4.915190552871712,600253,False,TheMrMobile
218,X2nTtGHjaiQ,2022-01-19T13:13:31.198055Z,4425,107,4.905560458958517,108157,False,TheMrMobile
219,yYEj-yaWYJ8,2022-03-19T20:49:23.984421Z,18388,382,4.9185935002663825,746234,False,TheMrMobile
220,B-XZ6ustzoI,2022-02-15T12:37:08.936709Z,8619,196,4.911060692002269,438792,False,TheMrMobile
221,fjSX1j4WBRo,2022-03-25T17:11:10.729334Z,10248,227,4.913317422434368,358644,False,TheMrMobile
222,e8jbLgXLz4Q,2022-02-02T20:55:47.411939Z,5240,86,4.935411190386782,152995,False,TheMrMobile
223,vkBggN9uqfs,2022-02-18T10:38:40.426559Z,5758,145,4.90174487548704,103217,False,TheMrMobile
224,pf9YGe85H0Y,2022-02-26T11:45:01.641394Z,12766,613,4.816727707601465,904920,False,TheMrMobile
225,x1D6w-7Zav8,2022-01-19T13:09:50.306549Z,11122,357,4.875598919766531,433250,False,TheMrMobile
226,_MCKYgySrH8,2022-01-27T17:18:42.488021Z,5905,109,4.927502494180246,168985,False,TheMrMobile
227,Ido4AGPUukU,2022-02-17T12:23:59.342309Z,6792,100,4.941961694718514,195799,False,TheMrMobile
228,OOMJDd68tl4,2022-03-11T06:42:40.339352Z,8858,192,4.915138121546962,348698,False,TheMrMobile
229,sxSL1TFSVxY,2022-02-16T09:59:08.634247Z,5168,70,4.9465444826269565,149406,False,TheMrMobile
230,Q1itPkQZ7LM,2022-04-04T01:38:46.163438Z,7092,100,4.944382647385984,276549,False,TheMrMobile
